Shop	Shop	Shop	Shop	Shop	Shop	Shop
0	2	0	3	10		
0	2	1	0	1		
0	2	1	0	2		
0	2	1	0	3		
0	2	1	0	4		
0	2	1	0	5		
0	2	1	0	6		
0	2	1	0	7		
0	2	1	0	8		
0	2	1	0	9		
0	2	1	0	10		
0	2	2	4	1		
0	2	2	4	2		
0	2	2	4	3		
0	2	2	4	4		
0	2	2	4	5		
0	2	2	4	6		
0	2	2	4	7		
0	2	2	4	8		
0	2	2	4	9		
0	2	2	4	10		
0	2	3	3	1		
0	2	3	3	2		
0	2	3	3	3		
0	2	3	3	4		
0	2	3	3	5		
0	2	3	3	6		
0	2	3	3	7		
0	2	3	3	8		
0	2	3	3	9		
0	2	3	3	10		
0	2	4	3	1		
0	2	4	3	2		
0	2	4	3	3		
0	2	4	3	4		
0	2	4	3	5		
0	2	4	3	6		
0	2	4	3	7		
0	2	4	3	8		
0	2	4	3	9		
0	2	4	3	10		
0	2	5	0	1		
0	2	5	0	2		
0	2	5	0	3		
0	2	5	0	4		
0	2	5	0	5		
0	2	5	0	6		
0	2	5	0	7		
0	2	5	0	8		
0	2	5	0	9		
0	2	5	0	10		
0	2	6	4	1		
0	2	6	4	2		
0	2	6	4	3		
0	2	6	4	4		
0	2	6	4	5		
0	2	6	4	6		
0	2	6	4	7		
0	2	6	4	8		
0	2	6	4	9		
0	2	6	4	10		
0	2	7	2	1		
0	2	7	2	2		
0	2	7	2	3		
0	2	7	2	4		
0	2	7	2	5		
0	2	7	2	6		
0	2	7	2	7		
0	2	7	2	8		
0	2	7	2	9		
0	2	7	2	10		
0	2	8	3	1		
0	2	8	3	2		
0	2	8	3	3		
0	2	8	3	4		
0	2	8	3	5		
0	2	8	3	6		
0	2	8	3	7		
0	2	8	3	8		
0	2	8	3	9		
0	2	8	3	10		
0	2	9	0	1		
0	2	9	0	2		
0	2	9	0	3		
0	2	9	0	4		
0	2	9	0	5		
0	2	9	0	6		
0	2	9	0	7		
0	2	9	0	8		
0	2	9	0	9		
0	2	9	0	10		
0	7	0	0	1		
0	7	0	0	2		
0	7	0	0	3		
0	7	0	0	4		
0	7	0	0	5		
0	7	0	0	6		
0	7	0	0	7		
0	7	0	0	8		
0	7	0	0	9		
0	7	0	0	10		
0	7	1	4	1		
0	7	1	4	2		
0	7	1	4	3		
0	7	1	4	4		
0	7	1	4	5		
0	7	1	4	6		
0	7	1	4	7		
0	7	1	4	8		
0	7	1	4	9		
0	7	1	4	10		
0	7	2	0	1		
0	7	2	0	2		
0	7	2	0	3		
0	7	2	0	4		
0	7	2	0	5		
0	7	2	0	6		
0	7	2	0	7		
0	7	2	0	8		
0	7	2	0	9		
0	7	2	0	10		
0	7	3	3	1		
0	7	3	3	2		
0	7	3	3	3		
0	7	3	3	4		
0	7	3	3	5		
0	7	3	3	6		
0	7	3	3	7		
0	7	3	3	8		
0	7	3	3	9		
0	7	3	3	10		
0	7	4	2	1		
0	7	4	2	2		
0	7	4	2	3		
0	7	4	2	4		
0	7	4	2	5		
0	7	4	2	6		
0	7	4	2	7		
0	7	4	2	8		
0	7	4	2	9		
0	7	4	2	10		
0	7	5	2	1		
0	7	5	3	2		
0	7	5	3	3		
0	7	5	3	4		
0	7	5	3	5		
0	7	5	3	6		
0	7	5	3	7		
0	7	5	3	8		
0	7	5	3	9		
0	7	5	3	10		
0	7	6	1	1		
0	7	6	1	2		
0	7	6	1	3		
0	7	6	1	4		
0	7	6	1	5		
0	7	6	1	6		
0	7	6	1	7		
0	7	6	1	8		
0	7	6	1	9		
0	7	6	1	10		
0	7	7	1	1		
0	7	7	1	2		
0	7	7	1	3		
0	7	7	1	4		
0	7	7	1	5		
0	7	7	1	6		
0	7	7	1	7		
0	7	7	1	8		
0	7	7	1	9		
0	7	7	1	10		
0	7	8	2	1		
0	7	8	2	2		
0	7	8	2	3		
0	7	8	2	4		
0	7	8	2	5		
0	7	8	2	6		
0	7	8	2	7		
0	7	8	2	8		
0	7	8	2	9		
0	7	8	2	10		
0	5	0	3	1		
0	5	0	3	2		
0	5	0	3	3		
0	5	0	3	4		
0	5	0	3	5		
0	5	0	3	6		
0	5	0	3	7		
0	5	0	3	8		
0	5	0	3	9		
0	5	0	3	10		
0	5	1	0	1		
0	5	1	0	2		
0	5	1	0	3		
0	5	1	0	4		
0	5	1	0	5		
0	5	1	0	6		
0	5	1	0	7		
0	5	1	0	8		
0	5	1	0	9		
0	5	1	0	10		
0	5	2	2	1		
0	5	2	2	2		
0	5	2	2	3		
0	5	2	2	4		
0	5	2	2	5		
0	5	2	2	6		
0	5	2	2	7		
0	5	2	2	8		
0	5	2	2	9		
0	5	2	2	10		
0	5	3	2	1		
0	5	3	2	2		
0	5	3	2	3		
0	5	3	2	4		
0	5	3	2	5		
0	5	3	2	6		
0	5	3	2	7		
0	5	3	2	8		
0	5	3	2	9		
0	5	3	2	10		
0	6	0	1	1		
0	6	0	1	2		
0	6	0	1	3		
0	6	0	1	4		
0	6	0	1	5		
0	6	0	1	6		
0	6	0	1	7		
0	6	0	1	8		
0	6	0	1	9		
0	6	0	1	10		
0	6	1	3	1		
0	6	1	3	2		
0	6	1	3	3		
0	6	1	3	4		
0	6	1	3	5		
0	6	1	3	6		
0	6	1	3	7		
0	6	1	3	8		
0	6	1	3	9		
0	6	1	3	10		
0	8	0	0	1		
0	8	0	0	2		
0	8	0	0	3		
0	8	0	0	4		
0	8	0	0	5		
0	8	0	0	6		
0	8	0	0	7		
0	8	0	0	8		
0	8	0	0	9		
0	8	0	0	10		
0	8	1	0	1		
0	8	1	0	2		
0	8	1	0	3		
0	8	1	0	4		
0	8	1	0	5		
0	8	1	0	6		
0	8	1	0	7		
0	8	1	0	8		
0	8	1	0	9		
0	8	1	0	10		
0	10	0	4	1		
0	10	0	4	2		
0	10	0	4	3		
0	10	0	4	4		
0	10	0	4	5		
0	10	0	4	6		
0	10	0	4	7		
0	10	0	4	8		
0	10	0	4	9		
0	10	0	4	10		
0	10	1	1	1		
0	10	1	1	2		
0	10	1	1	3		
0	10	1	1	4		
0	10	1	1	5		
0	10	1	1	6		
0	10	1	1	7		
0	10	1	1	8		
0	10	1	1	9		
0	10	1	1	10		
0	10	2	0	1		
0	10	2	0	2		
0	10	2	0	3		
0	10	2	0	4		
0	10	2	0	5		
0	10	2	0	6		
0	10	2	0	7		
0	10	2	0	8		
0	10	2	0	9		
0	10	2	0	10		
0	10	3	2	1		
0	10	3	2	2		
0	10	3	2	3		
0	10	3	2	4		
0	10	3	2	5		
0	10	3	2	6		
0	10	3	2	7		
0	10	3	2	8		
0	10	3	2	9		
0	10	3	2	10		
0	10	4	3	1		
0	10	4	3	2		
0	10	4	3	3		
0	10	4	3	4		
0	10	4	3	5		
0	10	4	3	6		
0	10	4	3	7		
0	10	4	3	8		
0	10	4	3	9		
0	10	4	3	10		
0	10	5	2	1		
0	10	5	3	2		
0	10	5	1	3		
0	10	5	4	4		
0	10	5	0	5	1	
0	10	5	2	6	1	
0	10	5	3	7		
0	10	5	1	8	1	
0	10	5	4	9	1	
0	10	5	0	10	1	
0	2	10	1	1		
0	2	10	1	2		
0	2	10	1	3		
0	2	10	1	4		
0	2	10	1	5		
0	2	10	1	6		
0	2	10	1	7		
0	2	10	1	8		
0	2	10	1	9		
0	2	10	1	10		
0	2	11	1	1		
0	2	11	1	2		
0	2	11	1	3		
0	2	11	1	4		
0	2	11	1	5		
0	2	11	1	6		
0	2	11	1	7		
0	2	11	1	8		
0	2	11	1	9		
0	2	11	1	10		
0	2	12	1	1		
0	2	12	1	2		
0	2	12	1	3		
0	2	12	1	4		
0	2	12	1	5		
0	2	12	1	6		
0	2	12	1	7		
0	2	12	1	8		
0	2	12	1	9		
0	2	12	1	10		
0	2	13	1	1		
0	2	13	1	2		
0	2	13	1	3		
0	2	13	1	4		
0	2	13	1	5		
0	2	13	1	6		
0	2	13	1	7		
0	2	13	1	8		
0	2	13	1	9		
0	2	13	1	10		
0	7	9	2	1		
0	7	9	2	2		
0	7	9	2	3		
0	7	9	2	4		
0	7	9	2	5		
0	7	9	2	6		
0	7	9	2	7		
0	7	9	2	8		
0	7	9	2	9		
0	7	9	2	10		
0	7	10	2	1		
0	7	10	2	2		
0	7	10	2	3		
0	7	10	2	4		
0	7	10	2	5		
0	7	10	2	6		
0	7	10	2	7		
0	7	10	2	8		
0	7	10	2	9		
0	7	10	2	10		
0	7	11	3	1		
0	7	11	3	2		
0	7	11	3	3		
0	7	11	3	4		
0	7	11	3	5		
0	7	11	3	6		
0	7	11	3	7		
0	7	11	3	8		
0	7	11	3	9		
0	7	11	3	10		
0	7	12	3	1		
0	7	12	3	2		
0	7	12	3	3		
0	7	12	3	4		
0	7	12	3	5		
0	7	12	3	6		
0	7	12	3	7		
0	7	12	3	8		
0	7	12	3	9		
0	7	12	3	10		
0	7	13	3	1		
0	7	13	3	2		
0	7	13	3	3		
0	7	13	3	4		
0	7	13	3	5		
0	7	13	3	6		
0	7	13	3	7		
0	7	13	3	8		
0	7	13	3	9		
0	7	13	3	10		
4	148	0	0	0		
4	38	0	1	0		
4	39	0	1	0		
4	46	0	0	0		
4	59	0	0	0	1	
4	60	0	0	0	1	
4	61	0	0	0	1	
4	62	0	0	0	1	
4	63	0	0	0	1	
4	75	0	1	1	1	
4	76	0	1	1	1	
4	77	0	1	1	1	
4	78	0	1	1	1	
4	79	0	1	1	1	
4	80	0	1	1	1	
4	81	0	1	1	1	
4	82	0	1	1	1	
4	83	0	1	1	1	
4	84	0	1	1	1	
4	85	0	1	1	1	
4	86	0	1	1	1	
4	87	0	1	1	1	
4	88	0	1	1	1	
4	89	0	1	1	1	
4	90	0	1	1	1	
4	91	0	1	1	1	
4	92	0	1	1	1	
4	93	0	1	1	1	
4	94	0	1	1	1	
4	95	0	1	1	1	
4	96	0	1	1	1	
4	97	0	1	1	1	
4	98	0	1	1	1	
4	99	0	1	1	1	
4	100	0	1	1	1	
4	101	0	1	1	1	
4	102	0	1	1	1	
4	109	0	1	1	1	
4	110	0	1	1	1	
4	111	0	1	1		
4	112	0	1	1	1	
4	113	0	1	1	1	
4	114	0	1	1		
4	0	0	1	1	1	
4	1	0	1	1	1	
4	249	0	1	0	1	
4	250	0	1	0	1	
4	252	0	1	0		
4	253	0	0	0		
4	254	0	0	0		
4	31	0	1	1	1	
4	32	0	1	1	1	
4	33	0	1	1	1	
4	14	0	0	1	1	
4	15	0	0	1	1	
4	16	0	0	1	1	
4	17	0	0	1	1	
4	235	0	0	0	1	
2	18	0	5	1		
2	19	0	5	1		
2	20	0	5	1		
2	21	0	5	1		
2	22	0	5	1		
2	23	0	5	1		
2	24	0	5	1		
2	25	0	5	1		
2	26	0	5	1		
2	27	0	5	1		
2	28	0	5	1		
2	29	0	5	1		
2	30	0	5	1		
2	31	0	5	1		
2	32	0	5	1		
2	33	0	5	1		
2	34	0	5	1		
2	35	0	5	1		
2	36	0	5	1		
2	37	0	5	1		
2	38	0	5	1		
1	8	0	0	1		
0	27	0	0	0		
0	28	0	2	0		
0	29	0	1	0		
0	30	0	3	0		
0	31	0	4	0		
0	14	0	4	0		
0	15	0	2	0		
0	16	0	1	0		
0	17	0	3	0		
0	49	0	2	0		
0	50	0	3	0		
4	173	0	1	1		
4	174	0	1	1		
4	175	0	1	1		
4	176	0	1	1		
0	11	0	0	1	1	
0	11	0	0	2	1	
0	11	0	0	3	1	
0	11	0	0	4	1	
0	11	0	0	5	1	
0	11	0	0	6	1	
0	11	0	0	7	1	
0	11	0	0	8	1	
0	11	0	0	9	1	
0	11	0	0	10	1	
4	53	0	1	0		
4	398	0	1	0		
4	399	0	1	0		
4	400	0	1	0		
4	401	0	1	0		
4	402	0	1	0		
4	403	0	1	0		
4	404	0	1	0		
4	405	0	1	0		
4	406	0	1	0		
1	8	0	0	2		
1	8	0	0	3		
1	8	0	0	4		
1	8	0	0	5		
4	414	0	1	1		
4	415	0	1	1		
4	416	0	1	1		
4	417	0	1	1		
4	122	0	0	1		
4	123	0	0	1		
4	125	0	1	1		
4	126	0	1	1		
4	127	0	1	1		
0	10	8	0	10		
4	429	0	1	1		
4	430	0	1	1		
4	432	0	1	1		
4	435	0	1	1		
4	171	0	1	1	1	
4	124	0	1	1		
4	396	0	1	1		
4	397	0	1	1		
4	457	0	1	1		
4	461	0	1	1		
4	454	0	1	0		
4	455	0	1	1		
4	451	0	1	0		
4	452	0	1	0		
4	53	0	1	1	1	
4	467	0	1	1		
4	466	0	1	1		
4	472	0	1	1		
4	473	0	1	1		
4	474	0	1	1		
4	475	0	1	1		
4	476	0	1	1		
4	477	0	1	1		
4	478	0	1	1		
4	479	0	1	1		
4	480	0	1	1		
4	481	0	1	1		
4	211	0	1	0	1	
4	49	0	1	1		
4	47	0	0	1	1	
4	154	0	1	0	1	
4	155	0	1	0	1	
