MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius	
15	Truy Tinh Trôc NguyÖt	1	0	1	10	1	0	1	0	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_npc_¶ÌÃ«.spr	64,16,1					\spr\skill\sl\½ğÁúÌ½×¦.spr	4,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav				\spr\skill\²¹³ä\mag_npc_¶ÌÃ«.spr	64,16,1					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0	
16	Truy Phong QuyÕt 	1	0	1	10	1	0	1	0	3	32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1					\spr\skill\²¹³ä\BZ_é¢1.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0	
17	Tİch LŞch §¬n 	7	0	1	10	1	1	1	0	60	16	10240	5120	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_03_Åùö¨µ¯.spr	10,1,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo1_±¬Õ¨Ğ§¹û.spr	6,1,2														132	125	107	90	
18	§Şa DiÖm Háa 1	0	0	1	1	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_µØÑæ»ğ.01.spr	1080,1,1																				255	255	231	90	
19	§Şa DiÖm Háa 2	0	0	0	6	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\µØÑæ»ğ.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\µØÑæ»ğ.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90	
20	§éc Thİch Cèt 1 	0	0	1	1	2	1	2	13	1080	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_08_Ïİ¾®.spr	1080,1,1																				255	255	231	90	
21	§éc Thİch Cèt 2 	0	0	0	6	2	1	2	17	16	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	1				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1				\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90	
22	Truy T©m TiÔn	1	0	1	10	1	0	1	0	20	30	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_05_¶àÏò¼ı.spr	160,16,1	\sound\skill\×·ĞÄ¼ı.wav																			148	219	255	90	
23	M¹n Thiªn Hoa Vò	0	0	1	20	1	1	7	40	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_06_ÂşÌì»¨Óê.spr	40,1,3																				255	219	214	90	
24	§o¹t Hån Tiªu	1	0	1	10	1	0	1	0	25	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_07_Ğ¡Àî·Éµ¶.spr	16,1,1	\sound\skill\¶á»êïÚ.wav																			255	251	214	90	
25	Xuyªn T©m Thİch 1	0	0	1	1	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_´©ĞÄ´Ì.spr	1080,1,1																				255	255	231	90	
26	Xuyªn T©m Thİch 2	0	0	0	6	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\´©ĞÄ´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\´©ĞÄ´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90	
27	Hµn B¨ng Thİch 1	0	0	1	1	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_º®±ù´Ì.spr	1080,1,1																				255	255	231	90	
28	Hµn B¨ng Thİch 2	0	0	0	6	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\bz_º®±ù´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\bz_º®±ù´Ì.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90	
29	L«i Kİch ThuËt 1	0	0	1	1	2	1	2	13	540	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_À×»÷Êõ.spr	1080,1,1																				255	255	231	90	
30	L«i Kİch ThuËt 2	0	0	0	6	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\À×»÷Êõ.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\À×»÷Êõ.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav			\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90	
31	TiÓu Lı Phi §ao 	0	0	1	10	2	0	3	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0										\spr\skill\²¹³ä\·É±ê±¬Õ¨.spr	4,1,1														227	247	198	90	
32	Thiªn La §Şa Vâng 1 	5	0	1	10	1	0	1	0	25	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_Ô¦·Éµ¶.spr	128,16,1	\sound\skill\¶á»êïÚ.wav																			255	251	214	90	
33	Thiªn La §Şa Vâng 2 	1	0	1	10	1	0	1	0	9	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_Ô¦·Éµ¶.spr	128,16,1	\sound\skill\¶á»êïÚ.wav																			255	251	214	90	
34	T¸n Hoa Tiªu	100	0	1	10	1	0	1	0	32	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\tm\ÈÌÕßïÚ.spr	15,1,1	\sound\skill\sound_k040.wav				\spr\skill\tm\ÈÌÕßïÚ.spr	15,1,1	\sound\skill\sound_k040.wav													239	231	189	90	
35	NhiÕp Hån NguyÖt ¶nh	1	0	1	10	1	0	1	0	18	32	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\tm\Òøµ¶ÉäÔÂ_02.spr	18,1,1	\sound\skill\×·ĞÄ¼ı.wav																			148	219	255	90	
36	Ng©n §ao X¹ NguyÖt	0	0	1	20	3	1	3	8	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					16,1,1					\spr\skill\tm\bz_Òøµ¶ÉäÔÂ.spr	16,1,1														255	219	214	90	
37	B¹o Vò Lª Hoa	0	0	1	15	1	0	1	18	90	0	0	0	1	1	1	16	0	0	0	0	0	1	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_07_Ğ¡Àî·Éµ¶.spr	90,1,1	\sound\skill\°ş¼«¶ø¸´.wav																			255	255	231	90	
38	Truy Tinh Tróc DiÖn	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\²¹³ä\Ô¶³Ì¹¥»÷.spr	16,16,1	\sound\skill\sound_k031.wav				\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	13,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													239	231	189	90	
39	Cö Cung Phi Tinh	100	0	1	10	1	0	1	0	32	32	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\tm\¾Å¹¬·ÉĞÇ.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\tm\¾Å¹¬·ÉĞÇ.spr	8,1,1	\sound\skill\sound_k040.wav													239	231	189	90	
40	Lo¹n Hoµn Kİch 1	0	0	1	1	2	1	2	13	1080	0	0	0	1	1	1	30	0	0	1	0	0	0	0	0	0	0				\spr\skill\tm\xj_×ÏÉ«ÏİÚå.spr	1080,1,1																				255	255	231	90	
41	Lo¹n Hoµn Kİch 2	0	0	0	6	2	1	2	28	27	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0				\spr\skill\tm\bz_×ÏÉ«ÏİÚå.spr	27,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\tm\bz_×ÏÉ«ÏİÚå.spr	27,1,1				\sound\skill\sound_k038.wav													239	146	82	90	
42	§éc Sa Ch­ëng	1	0	1	10	1	0	1	0	16	32	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\wu\ĞşÚ¤ÎüĞÇ.spr	128,16,1	\sound\skill\ÓÄÚ¤÷¼÷Ã.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													140	207	156	90	
43	HuyÕt §ao §éc S¸t	1	0	1	10	1	0	1	0	30	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_02_´óÊÖÓ¡.spr	10,1,1	\sound\skill\ÑªÊÖ¶¾É±.wav				\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	13,1,1														140	207	156	90	
44	Buff You	0	0	0	2	6	1	6	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0	
45	U Minh Kh« L©u	1	0	1	10	1	1	1	0	30	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_03_÷¼÷ÃÕ¨µ¯.spr	80,16,1	\sound\skill\ÓÄÚ¤÷¼÷Ã.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													140	207	156	90	
46	B¸ch §éc Xuyªn T©m	3	0	1	10	3	1	3	3	24	20	0	0	1	0	0	0	0	1	0	1	0	0	0	3	64	0				\spr\skill\Îå¶¾½Ì\wdu_02_´óÊÖÓ¡.spr	10,1,1	\sound\skill\ÓÄÚ¤÷¼÷Ã.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													140	207	156	90	
47	V« H×nh §éc 	0	0	0	2	4	0	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0										\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	6,1,1														255	255	255	0	
48	Thiªn C­¬ng §Şa S¸t	0	0	0	20	1	0	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_04_¾ÅÒõ°×¹Ç×¥.spr	8,1,1		\spr\skill\Îå¶¾½Ì\wdu_04_¾ÅÒõ°×¹Ç×¥ÏûÍö.spr	13,1,4																	140	207	156	90	
49	Chu CÊp Thanh Minh	1	0	1	10	1	1	1	0	30	31	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_05_¸òó¡¹¦.spr	160,16,1	\sound\skill\Öì¸òÇàÚ¤.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1														140	207	156	90	
50	¢m Phong Thùc Cèt	0	0	0	20	3	1	3	18	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\wu\Òõ·çÊ´¹Ç.spr	20,1,1																				140	207	156	90	
51	Thiªn C­¬ng §éc Thñ	0	0	0	20	3	1	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_04_¾ÅÒõ°×¹Ç×¥.spr	8,1,1		\spr\skill\Îå¶¾½Ì\wdu_04_¾ÅÒõ°×¹Ç×¥ÏûÍö.spr	13,1,4																	140	207	156	90	
52	HuyÒn ¢m Tr¶m	1	0	1	10	1	0	1	0	15	30	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\wu\ĞşÚ¤ÎüĞÇ.spr	128,16,1	\sound\skill\ÓÄÚ¤÷¼÷Ã.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													140	207	156	90	
53	Tinh Kh«ng Ph¸	0	0	0	20	2	1	3	18	16	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	1				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1				\sound\skill\sound_k038.wav				\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1	\sound\skill\Åùö¨µ¯.wav	\spr\skill\ÌÆÃÅ\bz_du3_±¬Õ¨.spr	16,1,1					239	146	82	90	
54	NhÊt DiÖp Tri Thu	1	0	1	10	1	0	1	0	12	20	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0				\spr\skill\¶ëáÒ\mag_em_03_Ò»Ò¶ÖªÇï.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1	\sound\skill\sound_k041.wav													156	211	255	90	
55	Phiªu TuyÕt Xuyªn V©n	1	0	1	10	1	0	1	0	12	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_01_Æ®Ñ©´©ÔÆ.spr	64,16,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90	
56	Tõ Hµng Phæ §é	0	0	0	10	5	1	5	20	19	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_12_´Èº½ÆÕ¶É.spr	20,1,1					\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k041.wav													156	166	247	90	
57	Th«i Song Väng NguyÖt	1	0	1	10	1	0	1	0	16	32	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0				\spr\skill\em\em_·çËªËéÓ°_Æ½·É.spr	96,16,1	\sound\skill\²»Ãğ²»¾ø.wav				\spr\skill\¶ëáÒ\mag_em_bin4_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													156	211	255	90	
58	Tø T­îng §ång Quy 1 	0	0	1	18	1	1	2	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0										\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2														156	211	255	90	
59	Tø T­îng §ång Quy 2 	1	0	1	18	1	1	1	0	15	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_02_ËÄÏóÍ¬¹é.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\¶ëáÒ\mag_bz_bin2_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\±ù±¬.wav													156	211	255	90	
60	Vßng Hç Trî 	0	0	0	2	1	1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0	
61	BÊt DiÖt BÊt TuyÖt	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0				\spr\skill\¶ëáÒ\mag_em_04_²»Ãğ²»¾ø.spr	64,16,1	\sound\skill\²»Ãğ²»¾ø.wav				\spr\skill\¶ëáÒ\mag_em_bin4_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													156	211	255	90	
62	PhËt Quang Phæ ChiÕu	0	0	1	10	1	1	7	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_05_·ğ¹âÆÕÕÕ.spr	8,1,2					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90	
63	Tam Nga TÒ TuyÕt	1	0	1	10	1	0	2	0	16	32	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0				\spr\skill\¶ëáÒ\mag_em_04_²»Ãğ²»¾ø.spr	64,16,1	\sound\skill\²»Ãğ²»¾ø.wav				\spr\skill\¶ëáÒ\mag_em_bin4_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													156	211	255	90	
64	Ngäc TuyÕt TÈy TrÇn	0	0	1	10	3	1	7	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_05_·ğ¹âÆÕÕÕ.spr	8,1,2					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90	
65	Phong S­¬ng To¸i ¶nh	0	0	1	10	3	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\em\em_±ùĞÄèóÒô.spr	40,1,1					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90	
66	Kim §Ønh PhËt Quang	5	0	1	10	1	0	1	0	35	20	0	0	1	0	0	0	0	1	1	1	0	0	15	0	0	0				\spr\skill\¶ëáÒ\mag_em_01_Æ®Ñ©´©ÔÆ.spr	64,16,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90	
67	Pho §é Chóng Sinh	0	0	0	2	1	1	24	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0																									255	255	255	0	
68	Phong Hoa TuyÕt NguyÖt	1	0	1	10	1	0	1	0	20	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_01_·çÔÆÍ»Æğ.spr	48,16,1	\sound\skill\·ç»¨Ñ©ÔÂ.wav				\spr\skill\¶ëáÒ\mag_bz_bin2_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\±ù±¬.wav													156	211	255	90	
69	Phong QuyÓn Tµn TuyÕt	1	0	0	5	1	1	1	0	24	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1				\spr\skill\´äÑÌ\mag_cy_02_·ç¾í²ĞÑ©_a.spr	7,1,1	\sound\skill\·ç¾í²ĞÑ©.wav										\spr\skill\´äÑÌ\mag_cy_02_·ç¾í²ĞÑ©_b.spr	7,1,1								156	211	255	90	
70	B¨ng T©m Tr¸i ¶nh	0	0	1	10	1	0	1	0	16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_11_²¹ÑªÊõ.spr	20,1,1	\sound\skill\ÖÎÁÆÊõ.wav																			189	134	82	90	
71	Vò §µ Lª Hoa 1	1	0	1	450	1	1	3	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_03_Óê´òÀæ»¨.spr	5,1,1			16,1,2		\spr\skill\¶ëáÒ\mag_bz_bin3_±¬Õ¨Ğ§¹û.spr	19,1,2	\sound\skill\sound_k041.wav													156	211	255	90	
72	Vò §µ Lª Hoa 2	2	1	0	0	2	1	1	3	0	20	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_bz_bin4_±¬Õ¨Ğ§¹û.spr	16,1,2																				222	101	74	90
73	Phï V©n Tµn TuyÕt	0	0	1	15	1	1	7	15	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_10_¹ÛÒôÉ¢Ñ©.spr	16,1,1	\sound\skill\¸¡ÔÆÉ¢Ñ©.wav																			156	166	247	90	
