Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	AuraSkill	AuraSkillLevel	PassSkill	PassSkillLevel	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	QuestTask
Kim Mé Binh	3	6	0								enemy026	0	0	0	0	0	26	32																																																																								100		25	
Tèng Kim Chiªu Binh	3	6	0								enemy088	0	0	0	0	0	26	32																																																																								100		25	
Vâ L©m Minh Chñ	3	6	0								enemy037	0	0	0	0	0	40	40																																																																								100		25	
Th­¬ng Nh©n T©y Vùc	3	6	0								enemy045	0	0	0	0	0	1	1																																																																								100		25	
Hç Trî T©n Thñ	3	6	0								passerby072	0	0	0	0	0	40	40																																																																								100		25	
Thóy Yªn Hoa Sø	3	6	0								enemy152	0	0	0	0	0	30	33																																																																								100		25	
§Ö Tö C¸i Bang	3	6	0								enemy155	0	0	0	0	0	17	38																																																																								100		25	
§­êng M«n ThÞ VÖ	3	6	0								enemy158	0	0	0	0	0	24	49																																																																								100		25	
Thiªn NhÉn Tu SÜ	3	6	0								enemy162	0	0	0	0	0	32	30																																																																								100		25	
Thiªn V­¬ng T­íng LÜnh	3	6	0								enemy165	0	0	0	0	0	60	37																																																																								100		25	
Ngò §éc T¸n Nh©n	3	6	0								enemy167	0	0	0	0	0	20	23																																																																								100		25	
C«n L«n Hé Ph¸p	3	6	0								enemy060	0	0	0	0	0	22	32																																																																								100		25	
Vâ §ang §¹o Nh©n	3	6	0								enemy169	0	0	0	0	0	42	42																																																																								100		25	
ThiÕu L©m La H¸n	3	6	0								enemy170	0	0	0	0	0	27	32																																																																								100		25	
Nga My CÈm Y Ni	3	6	0								enemy056	0	0	0	0	0	37	38																																																																								100		25	
ThuyÒn Phu	3	6	0								passerby045	0	0	0	0	0	26	30																																																																								100		25	
TiÒn Trang	3	6	0								passerby048	0	0	0	0	0	30	40																																																																								100		25	
D· TÈu	3	6	0								enemy081	0	0	0	0	0	38	38																																																																								100		25	
LÔ Quan	3	6	0								passerby181	0	0	0	0	0	25	32																																																																								100		25	
Ph¶n T¨ng 	3	6	0								enemy038	0	0	0	0	0	40	40																																																																								100		25	
Long Ngò	3	6	0								enemy199	0	0	0	0	0	15	16																																																																								100		25	
Heo tr¾ng	0	5	0	1			105				ani063	0	0	0	0	0	31	36	31	10	20	13	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1						\script\npclevelscript\makeboss.lua	100	0	0	150	100	0	0	80	0|1	100	0	0	50	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai0x.ini	17	
Kim Miªu	0	5	0	1			91				ani049	0	0	0	0	0	24	29	24	7	22	14	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1						\script\npclevelscript\makeboss.lua	100	0	0	150	100	0	0	80	0|1	100	0	0	50	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai0x.ini	17	
H­¬u §èm	0	5	0	1			103				ani061	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1						\script\npclevelscript\makeboss.lua	100	0	0	150	100	0	0	80	0|1	100	0	0	50	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai0x.ini	17	
NhÝm	0	5	0	1			61				ani019	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1						\script\npclevelscript\makeboss.lua	100	0	0	300	100	0	0	150	0|2	100	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai1x.ini	17	
X¸ LÞ	0	5	0	1			92				ani050	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1						\script\npclevelscript\makeboss.lua	100	0	0	100	100	0	0	150	0|2	100	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai1x.ini	17	
Håi Lang	0	5	0	1			51				ani009	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1	Cong kich vat ly npc	0|1						\script\npclevelscript\makeboss.lua	100	0	0	700	100	0	0	150	0|2	100	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai1x.ini	17	
Háa Lang	0	5	0	1			52				ani010	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2						\script\npclevelscript\makeboss.lua	100	0	0	700	100	0	0	1000	0|2	100	0	0	200	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai2x.ini	17	
Thanh Lang	0	5	0	1			53				ani011	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2						\script\npclevelscript\makeboss.lua	100	0	0	700	100	0	0	1000	0|2	100	0	0	200	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai2x.ini	17	
Tuyªt Lang	0	5	0	1			54				ani012	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2						\script\npclevelscript\makeboss.lua	100	0	0	700	100	0	0	1000	0|2	100	0	0	200	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai2x.ini	17	
TuyÕt B¸o	0	5	0	1			48				ani006	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2						\script\npclevelscript\makeboss.lua	100	0	0	1200	100	0	0	1700	0|3	100	0	0	300	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai3x.ini	17	
Voi Ch©u ¸ 	0	5	0	1			63				ani021	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2						\script\npclevelscript\makeboss.lua	100	0	0	1200	100	0	0	1700	0|3	100	0	0	300	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai3x.ini	17	
Voi Hoµng hµ 	0	5	0	1			66				ani024	0	0	0	0	0	36	40	24	10	10	10	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2	Cong kich vat ly npc	0|2						\script\npclevelscript\makeboss.lua	100	0	0	1200	100	0	0	1700	0|3	100	0	0	300	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai3x.ini	17	
T©y B¾c s¬n  tÆc ®Çu lÜnh	0	5	0	1			230				enemy121	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3						\script\npclevelscript\makeboss.lua	100	0	0	1800	100	0	0	3000	0|3	100	0	0	400	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai4x.ini	17	
T©y Nam s¬n  tÆc ®Çu lÜnh	0	5	0	1			231				enemy122	0	0	0	0	0	36	40	24	10	10	10	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3						\script\npclevelscript\makeboss.lua	100	0	0	1800	100	0	0	3000	0|3	100	0	0	400	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai4x.ini	17	
Giang Nam s¬n  tÆc ®Çu lÜnh	0	5	0	1			232				enemy123	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3						\script\npclevelscript\makeboss.lua	100	0	0	1800	100	0	0	3000	0|3	100	0	0	400	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai4x.ini	17	
Trém Má	0	5	0	1			240				enemy131	0	0	0	0	0	14	24	31	12	27	12	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3						\script\npclevelscript\makeboss.lua	100	0	0	2500	100	0	0	6000	0|3	100	0	0	500	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai5x.ini	17	
Trém Má	0	5	0	1			240				enemy131	0	0	0	0	0	14	16	26	12	21	12	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3						\script\npclevelscript\makeboss.lua	100	0	0	2500	100	0	0	6000	0|3	100	0	0	500	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai5x.ini	17	
Trém Má	0	5	0	1			240				enemy131	0	0	0	0	0	38	38	38	12	24	16	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3	Cong kich vat ly npc	0|3						\script\npclevelscript\makeboss.lua	100	0	0	2500	100	0	0	6000	0|3	100	0	0	500	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai5x.ini	17	
Nam bé s¬n  tÆc ®Çu lÜnh	0	5	0	1			235				enemy126	0	0	0	0	0	27	27	24	10	11	15	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4						\script\npclevelscript\makeboss.lua	100	0	0	3500	100	0	0	10000	0|4	100	0	0	600	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai6x.ini	17	
Trung Nguyªn s¬n  tÆc ®Çu lÜnh	0	5	0	1			236				enemy127	0	0	0	0	0	13	20	19	10	20	6	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4						\script\npclevelscript\makeboss.lua	100	0	0	3500	100	0	0	10000	0|4	100	0	0	600	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai6x.ini	17	
S¬n tÆc ®Çu lÜnh1	0	5	0	1			237				enemy128	0	0	0	0	0	35	35	26	10	22	14	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4	Cong kich vat ly npc	0|4						\script\npclevelscript\makeboss.lua	100	0	0	3500	100	0	0	10000	0|4	100	0	0	600	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai6x.ini	17	
S¬n tÆc ®Çu lÜnh2	0	5	0	1			238				enemy129	0	0	0	0	0	15	13	14	10	20	7	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5						\script\npclevelscript\makeboss.lua	100	0	0	4500	100	0	0	19500	0|4	100	0	0	700	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai7x.ini	12	
T©y B¾c s¬n  tÆc 1	0	5	4	1			239				enemy130	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5						\script\npclevelscript\makeboss.lua	100	0	0	4500	100	0	0	19500	0|4	100	0	0	700	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai7x.ini	12	
T©y B¾c s¬n  tÆc 2	0	5	0	1			240				enemy131	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5						\script\npclevelscript\makeboss.lua	100	0	0	4500	100	0	0	19500	0|4	100	0	0	700	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	270	75	\Settings\droprate\quai7x.ini	12	
T©y Nam s¬n  tÆc 1	0	5	1	1			241				enemy132	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5						\script\npclevelscript\makeboss.lua	100	0	0	5500	100	0	0	19500	0|4	100	0	0	700	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	135	75	\Settings\droprate\quai8x.ini	12	
T©y Nam s¬n  tÆc 2	0	5	2	1			242				enemy133	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5						\script\npclevelscript\makeboss.lua	100	0	0	5500	100	0	0	19500	0|4	100	0	0	700	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	135	75	\Settings\droprate\quai8x.ini	12	
H¾c Phong	0	5	0	1			231				enemy122	0	0	0	0	0	35	35	27	12	18	12	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5	Cong kich vat ly npc	0|5						\script\npclevelscript\makeboss.lua	100	0	0	5500	100	0	0	19500	0|4	100	0	0	700	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	135	75	\Settings\droprate\quai8x.ini	12	
Bß c¹p	0	5	4	1			107				ani065	0	0	0	0	0	30	30	30	12	16	12	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6						\script\npclevelscript\makeboss.lua	100	0	0	6500	100	0	0	25000	0|5	100	0	0	800	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\Settings\droprate\quai9x.ini	12	
NhÖn	0	5	0	1			108				ani066	0	0	0	0	0	30	30	36	9	18	13	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6						\script\npclevelscript\makeboss.lua	100	0	0	6500	100	0	0	25000	0|5	100	0	0	800	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\Settings\droprate\quai9x.ini	12	
RÕt	0	5	1	1			109				ani067	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6						\script\npclevelscript\makeboss.lua	100	0	0	6500	100	0	0	25000	0|5	100	0	0	800	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\Settings\droprate\quai9x.ini	12	
S¬n tÆc	0	5	3	1			253				enemy144	0	0	0	0	0	37	38	20	11	10	10	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6						\script\npclevelscript\makeboss.lua	100	0	0	6500	100	0	0	25000	0|5	100	0	0	800	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\Settings\droprate\quai9x.ini	12	
§éc Th­¬ng Ng©n	0	5	0	1			235				enemy126	0	0	0	0	0	36	27	36	10	19	13	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6						\script\npclevelscript\makeboss.lua	100	0	0	6500	100	0	0	25000	0|5	100	0	0	800	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\Settings\droprate\quai9x.ini	12	
B¹ch Phong §ao	0	5	0	1			237				enemy128	0	0	0	0	0	35	36	32	12	14	13	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6	Cong kich vat ly npc	0|6						\script\npclevelscript\makeboss.lua	100	0	0	6500	100	0	0	25000	0|5	100	0	0	800	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\Settings\droprate\quai9x.ini	12	
Th­¬ng Liªm	0	5	0	1			420				enemy086	0	0	0	0	0	36	40	24	10	10	10	Cong kich kim npc	0|4	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7						\script\npclevelscript\makeboss.lua	100	0	0	8000	100	0	0	32000	0|1	100	0	0	900	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\settings\droprate\quai10x.ini	12	
Trung Nguyªn s¬n tÆc 2	0	5	2	1			252				enemy143	0	0	0	0	0	28	28	31	8	14	14	Cong kich moc npc	0|4	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7						\script\npclevelscript\makeboss.lua	100	0	0	8000	100	0	0	32000	0|1	100	0	0	900	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\settings\droprate\quai10x.ini	12	
HuyÕt Tr¶o	0	5	0	1			84				enemy140	0	0	0	0	0	37	38	20	11	10	10	Cong kich thuy npc	0|4	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7						\script\npclevelscript\makeboss.lua	100	0	0	8000	100	0	0	32000	0|1	100	0	0	900	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	90	100	\settings\droprate\quai10x.ini	12	
Song Liªm	0	5	0	1			242				enemy133	0	0	0	0	0	37	38	20	11	10	10	Cong kich hoa npc	0|5	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7						\script\npclevelscript\makeboss.lua	100	0	0	8000	100	0	0	48000	0|10	100	0	0	1000	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	180	100	\Settings\droprate\quai10x.ini	12	
H¹o Chïy	0	5	0	1			238				enemy129	0	0	0	0	0	37	38	20	11	10	10	Cong kich tho npc	0|5	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7						\script\npclevelscript\makeboss.lua	100	0	0	8000	100	0	0	48000	0|10	100	0	0	1000	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	180	100	\Settings\droprate\quai10x.ini	12	
Ph¸ S¬n	0	5	0	1			112				enemy138	0	0	0	0	0	37	38	20	11	10	10	Cong kich kim npc	0|5	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7	Cong kich vat ly npc	0|7						\script\npclevelscript\makeboss.lua	100	0	0	8000	100	0	0	48000	0|10	100	0	0	1000	100	0	0	0	0	0	0	0	0	0	0	0	6	6	25	25	350	10	350	1	35	25	25	25	20	10	50	0	0	0|0	0|0	0|0	0|0	0|0	0|75	0|75	0|75	0|75	0|75	180	100	\Settings\droprate\quai10x.ini	12	
