SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LevelUpScript	SkillDesc	IsSkillPhysical	IsSkillMagic	IsSkillTrain
Kim PhËt XuÊt KÝch	lzlsky301	11		0					0	0	3	0	0	0	1	0	0	3	6	1	32	1	11	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		????¡§???????????????????????¡§?????????	0	0	0
La H¸n TrËn	lzlsky301	12	33	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_23.spr				45	1	2	0	100	0	0	0	1	7	13	1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p	luohan_zhen	meleedamagereturn_p	luohan_zhen	rangedamagereturn_p	luohan_zhen	adddefense_v	luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		C«ng thñ toµn diÖn, ph¶n ®ßn s¸t th­¬ng rÊt hiÖu nghiÖm	0	0	0
Vßng La H¸n TrËn	lzlsky301	13		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_23.spr		0	0	45	0	2	0	180	0	0	0	1	3	9	-1	1	1	11	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	luohan_zhen	meleedamagereturn_p	luohan_zhen	rangedamagereturn_p	luohan_zhen	adddefense_v	luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen		luohan_zhen			0	0	0
Long Tr¶o Hç Tr¶o	lzlsky301	14	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		\sound\skill\sound_k003.wav	0	0	0	0	1	90	5	1	5	1	12	15	0	2	0	10	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	-1	1	60	0	10		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	stun_p	longzhao_huzhua	seriesdamage_p	longzhao_huzhua	missle_lifetime_v	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_cost_v	longzhao_huzhua	addskilldamage1	longzhao_huzhua	addskilldamage2	longzhao_huzhua		longzhao_huzhua		Chiªu thøc cao cÊp, hiÖu qu¶ s¸t th­¬ng cùc lín	1	0	0
Long Tr¶o Hç Tr¶o st	lzlsky301	15		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		0	0	0	0	0	0	75	0	0	0	0	1	7	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	-2	0	60	0	0		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	stun_p	longzhao_huzhua	seriesdamage_p	longzhao_huzhua	skill_eventskilllevel	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua	missle_lifetime_v	longzhao_huzhua	addskilldamage1			Cong kich vat ly 	1	0	0
Hoµnh T¶o Lôc Hîp	lzlsky301	16	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	300	5	1	6	1	8	17	1	3	0	10	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	2	1	100	0	32		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe	colddamage_v	hengsao_liuhe	addskilldamage1	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		Vâ c«ng cao cÊp, tÊn c«ng cïng lóc nhiÒu ®èi thñ	1	0	0
Hoµnh T¶o Lôc Hîp st	lzlsky301	17		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		0	0	0	0	0	0	75	0	0	0	0	7	8	1	1	1	9	1	0	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe	colddamage_v	hengsao_liuhe	skill_eventskilllevel	hengsao_liuhe	addskilldamage1	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		Cong kich vat ly 	1	0	0
Ma Ha V« L­îng	lzlsky301	18	203	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_41.spr		\sound\skill\Ä¦Ú­ÎÞÁ¿.wav		0	0	0	0	200	5	2	4	9	1	10	1	2	1	10	0	0	5	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	mohe_wuliang	skill_eventskilllevel	mohe_wuliang	missle_speed_v	mohe_wuliang	skill_attackradius	mohe_wuliang	skill_cost_v	mohe_wuliang	seriesdamage_p	mohe_wuliang	colddamage_v	mohe_wuliang	addskilldamage1	mohe_wuliang		mohe_wuliang		mohe_wuliang		Vâ c«ng trung cÊp, hiÖu qu¶ chiÕn ®Êu cùc cao	1	0	0
Nh­ Lai Thiªn §iÖp	lzlsky301	19	11	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_33.spr	\spr\skill\²¹³ä\born01.spr			53	0	2	0	400	0	0	0	5	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	rulai_qianye	lifemax_p	rulai_qianye	addcolddamage_v	rulai_qianye	deadlystrikeenhance_p	rulai_qianye	skill_cost_v	rulai_qianye	attackspeed_v	rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		Cao cap tam phap. Tang cuong luc chien toan dien	0	0	0
DÞch C©n Kinh	lzlsky301	20	21	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_43.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua		yijin_jing	allres_p	yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		yijin_jing		Chiªu thøc tèi cao, t¨ng toµn bé kh¸ng tÝnh	0	0	0
§¹t Ma §é Giang	lzlsky301	21	1	1	\spr\Ui\skill\´ïÄ¦¶É½­.spr		\sound\skill\sound_k003.wav	0	0	0	0	1	90	5	1	5	1	12	22	0	2	0	10	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	-1	1	60	0	10		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	damo_dujiang	skill_cost_v	damo_dujiang	deadlystrike_p	damo_dujiang	missle_speed_v	damo_dujiang	skill_attackradius	damo_dujiang	seriesdamage_p	damo_dujiang	ignoredefense_p	damo_dujiang	colddamage_v	damo_dujiang	skill_skillexp_v	damo_dujiang		damo_dujiang		QuyÒn ph¸p cao cÊp, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ 	0	1	1
§¹t Ma §é Giang st	lzlsky301	22	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		0	0	0	0	0	0	75	0	0	0	0	1	11	1	1	1	9	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	-2	0	50	0	0		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	damo_dujiang	skill_cost_v	damo_dujiang	deadlystrike_p	damo_dujiang	missle_speed_v	damo_dujiang	skill_attackradius	damo_dujiang	seriesdamage_p	damo_dujiang	ignoredefense_p	damo_dujiang	colddamage_v	damo_dujiang	skill_skillexp_v	damo_dujiang		damo_dujiang		Cong kich vat ly 	1	0	1
Hoµnh T¶o Thiªn Qu©n	lzlsky301	23	1	0	\spr\Ui\skill\ºáÉ¨Ç§¾ü.spr		\sound\skill\sound_k005.wav	0	0	0	0	0	100	0	0	0	1	7	12	1	1	1	9	1	0	5	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	80	0	2	1	100	0	0		0					1	0	\script\skill\shaolin.lua	physicsenhance_p	hengsao_qianjun	skill_cost_v	hengsao_qianjun	seriesdamage_p	hengsao_qianjun	attackrating_p	hengsao_qianjun	deadlystrike_p	hengsao_qianjun	colddamage_v	hengsao_qianjun	skill_skillexp_v	hengsao_qianjun	skill_attackradius	hengsao_qianjun		hengsao_qianjun		hengsao_qianjun		C«n ph¸p cao cÊp, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ 	1	0	1
V« T­íng Tr¶m	lzlsky301	24	1	0	\spr\Ui\skill\ÎÞÏòÕ¶.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	512	0	5	6	1	1	13	1	2	1	10	1	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	80	0	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	wuxiang_zhan	skill_cost_v	wuxiang_zhan	seriesdamage_p	wuxiang_zhan	colddamage_v	wuxiang_zhan	skill_skillexp_v	wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		wuxiang_zhan		§ao ph¸p cao cÊp, s¸t th­¬ng cùc kú lîi h¹i 	1	0	1
Thiªn V­¬ng Th­¬ng Ph¸p	lzlsky301	25	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_qf.spr		0	0	0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					1	0	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_qiangfa	attackratingenhance_p	tianwang_qiangfa	deadlystrikeenhance_p	tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		tianwang_qiangfa		T¨ng hiÖu qu¶ sö dông th­¬ng	0	0	0
Thiªn V­¬ng §ao Ph¸p	lzlsky301	26	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_df.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					1	0	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_daofa	attackratingenhance_p	tianwang_daofa	deadlystrikeenhance_p	tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		T¨ng hiÖu qu¶ sö dông ®ao	0	0	0
Thiªn V­¬ng Chïy Ph¸p	lzlsky301	27	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_cf.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	4	0	0	0	0		0					1	0	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_chuifa	attackratingenhance_p	tianwang_chuifa	deadlystrikeenhance_p	tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		T¨ng hiÖu qu¶ sö dông chuú	0	0	0
Kinh L«i Tr¶m	lzlsky301	28	102	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_01.spr		\sound\skill\sound_k003.wav		0	0	0	0	72	0	1	10	1	12	29	0	1	0	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	1	0	60	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	jinglei_zhan	seriesdamage_p	jinglei_zhan	missle_speed_v	jinglei_zhan	skill_attackradius	jinglei_zhan	skill_cost_v	jinglei_zhan	missle_lifetime_v	jinglei_zhan	addskilldamage1	jinglei_zhan	addskilldamage2	jinglei_zhan	addskilldamage3	jinglei_zhan		jinglei_zhan		§ao ph¸p nhËp m«n, hiÖu qu¶ s¸t th­¬ng kh«ng cao	1	0	0
Kinh L«i Tr¶m st	lzlsky301	29		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	jinglei_zhan	seriesdamage_p	jinglei_zhan	skill_eventskilllevel	jinglei_zhan	missle_speed_v	jinglei_zhan	skill_attackradius	jinglei_zhan	skill_cost_v	jinglei_zhan	missle_lifetime_v	jinglei_zhan	addskilldamage1	jinglei_zhan	addskilldamage2	jinglei_zhan		jinglei_zhan		Dao phap nhap mon, hieu qua sat thuong khong cao.	0	0	0
Håi Phong L¹c Nh©n	lzlsky301	30	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_61.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	90	0	1	10	1	12	31	0	2	0	9	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	3	1	60	0	10		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan		huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdamage_p	huifeng_luoyan	addskilldamage1	huifeng_luoyan	addskilldamage2	huifeng_luoyan	addskilldamage3	huifeng_luoyan		Th­¬ng ph¸p nhËp m«n, mét lÇn xuÊt liªn tôc 2 chiªu	1	0	0
Håi Phong L¹c Nh©n st	lzlsky301	31		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_02.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	60	0	0		0					1	0	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	skill_eventskilllevel	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan	skill_cost_v	huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdamage_p	huifeng_luoyan	addskilldamage1	huifeng_luoyan	addskilldamage2	huifeng_luoyan		Cong kich vat ly 	1	0	0
Tr¶m Long QuyÕt	lzlsky301	32	103	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_62.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	72	0	1	10	1	12	33	0	1	0	9	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	4	1	60	0	0		0					0	0	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue	ignoredefense_p	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_attackradius	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdamage_p	zhanlong_jue	addskilldamage1	zhanlong_jue	addskilldamage2	zhanlong_jue	addskilldamage3	zhanlong_jue		zhanlong_jue		Chuú ph¸p nhËp m«n, khiÕn ®èi ph­¬ng rÊt khã xoay së	1	0	0
Tr¶m Long QuyÕt st	lzlsky301	33		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	75	0	0	0	0	1	4	1	1	1	9	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					1	1	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue	ignoredefense_p	zhanlong_jue	skill_eventskilllevel	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_attackradius	zhanlong_jue	skill_cost_v	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdamage_p	zhanlong_jue	addskilldamage1	zhanlong_jue	addskilldamage2	zhanlong_jue		Chuy phap nhap mon, khien doi phuong rat kho xoay so.	1	0	0
TÜnh T©m QuyÕt	lzlsky301	34	11	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_13.spr		\sound\skill\sound_k002.wav		46	0	2	0	400	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	\script\skill\tianwang.lua	attackratingenhance_p	jingxin_jue	skill_cost_v	jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		S¬ cÊp t©m ph¸p, t¨ng ®é chÝnh x¸c c«ng kÝch	0	0	0
