szName	nItemGenre	nDetailType	szImageName	nObjIdx	nWidth	nHeight	szIntro	Coin	IsUse	IsTrade	IsThrow	nMaxStack
B¸t Nh· Ba La MËt T©m Kinh	4	27	\spr\item\questkey\taskobj027.spr	41	1	1	Vat pham nhiem vu Thieu Lam cap 30.	100	0	0	1	0
§ïi Gµ	4	28	\spr\item\questkey\taskobj106.spr	41	1	1	Vat pham nhiem vu Thieu Lam cap 50.	100	0	0	1	0
Kª HuyÕt Th¹ch	4	29	\spr\item\questkey\taskobj085.spr	41	1	1	"Loai bao thach quy hiem, co the xua duoi ta ma."	100	0	0	1	0
L¸ Cê GÊm	4	30	\spr\item\questkey\taskobj086.spr	41	1	1	"Mot la co Gam mau hong, phia tren co theu 4 chu Vang ""Yeu dan nhu con""."	100	0	0	1	0
Phóc Duyªn Lé (tiÓu)	4	31	\spr\item\medecine\fuyuanlu_small.spr	370	1	1	Sö dông nhËn ®­îc 10 ®iÓm phóc duyªn	12	1	1	1	0
Phóc Duyªn Lé (trung)	4	32	\spr\item\medecine\fuyuanlu_middle.spr	370	1	1	Sö dông nhËn ®­îc 20 ®iÓm phóc duyªn	24	1	1	1	0
Phóc Duyªn Lé (®¹i)	4	33	\spr\item\medecine\fuyuanlu_big.spr	370	1	1	Sö dông nhËn ®­îc 50 ®iÓm phóc duyªn	60	1	1	1	0
Hoa Hång §á	4	34	\spr\event\8thang3\hoahongdo.spr	41	1	1	Mét ®ãa hoa hång mµu ®á xinh ®Ñp nh­ng ®Çy gai	100	0	0	1	250
Bã Hoa Hång (nhá)	4	35	\spr\event\8thang3\bohoahongnho.spr	41	1	1	Bã b«ng hång nhá dµnh tÆng cho c¸c mü nh©n xinh ®Ñp	100	0	0	1	100
Bã Hoa Hång (lín)	4	36	\spr\event\8thang3\bohoahonglon.spr	41	1	1	"Bã hoa hång lín bªn trong cã 999 ®ãa hång, c¸c mü nh©n sÏ rÊt thİch mãn quµ nµy"	100	0	1	1	100
Tèng Kim LÔ Bao (tiÓu)	4	37	\spr\item\questkey\obj_item_hehuan.spr	41	1	1	"Bªn trong cã chøa nhiÒu kinh nghiÖm, tïy ®¼ng cÊp qu©n hµm sè l­îng nhiÒu hay thÊp"	1000	1	0	1	0
 Tèng Kim Chiªu Th­ 	4	38	\spr\item\songjin\rescript.spr	383	1	1	Cã thÓ tù lùa chän khu vùc ®Ó ®Õn b¸o danh	10000	1	1	1	10
Hu©n C«ng Bµi Tèng Kim	4	39	\spr\item\questkey\taskobj021.spr	383	1	1	"Sö dông sÏ nhËn ®­îc  100 v¹n/150 v¹n/200 v¹n ®iÓm kinh nghiÖm, kh«ng céng dån."	5000	1	1	1	0
 R­¬ng Ngùa ChiÕu D¹ 	4	40	\spr\item\hopquagiangsinh.spr	41	1	1	"Bªn trong cã ch­a chiÕn m· ChiÕu D¹ Ngäc S­ Tö, 1 trong 8 con ngùa cña Chu Môc V­¬ng"	150	1	1	1	0
Hép LÔ VËt V­ît ¶i	4	41	\spr\item\script\cangbaotujinhe.spr	41	1	1	Bªn trong chøa nhiÒu vËt phÈm quı	250	1	0	1	0
Qu¶ Huy Hoµng (s¬)	4	42	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	"Lo¹i qu¶ quı hiÕm, sö dông sÏ t¨ng thªm: 500.000 ®iÓm kinh nghiÖm"	100	1	0	1	0
Qu¶ Huy Hoµng (trung)	4	43	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	"Lo¹i qu¶ quı hiÕm, sö dông sÏ t¨ng thªm: 2.000.000 ®iÓm kinh nghiÖm"	100	1	1	1	0
Qu¶ Huy Hoµng (cao)	4	44	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	"Lo¹i qu¶ quı hiÕm, sö dông sÏ t¨ng thªm: 3.000.000 ®iÓm kinh nghiÖm"	100	1	1	1	0
Qu¶ Hoµng Kim	4	45	\spr\item\questkey\huangjinzhiguo.spr	377	1	1	"Lo¹i qu¶ quı hiÕm, sö dông sÏ t¨ng thªm: 30.000.000 ®iÓm kinh nghiÖm"	100	1	1	1	0
Nh¹c V­¬ng Hån Th¹ch	4	46	\spr\item\questkey\taskobj105.spr	41	1	1	Thu thËp ®ñ 50 viªn ®Õn thî rÌn D­¬ng Ch©u chÕ Nh¹c V­¬ng KiÕm	20000	0	1	1	100
Nh¹c V­¬ng KiÕm	4	47	\spr\item\nvk.spr	41	2	3	"Béi kiÕm cña Nh¹c Phi, tİn vËt ®Ó kiÕn lËp bang héi"	2000	0	1	1	0
Trang BŞ An Bang	4	48	\spr\item\questkey\tuimauvang.spr	41	1	1	Sö dông nhËn ®­îc ngÉu nhiªn mét ®å hoµng kim An Bang.	300	1	1	1	0
Trang BŞ §Şnh Quèc	4	49	\spr\item\questkey\tuimaudo.spr	41	1	1	Sö dông nhËn ®­îc ngÉu nhiªn mét ®å hoµng kim §Şnh Quèc.	250	1	1	1	0
Trang BŞ Nhu T×nh	4	50	\spr\item\questkey\tuimauhong.spr	41	1	1	Tói b¶o vËt bªn trong cã chøa trang bŞ Nhu T×nh.	200	1	1	1	0
Trang BŞ HiÖp Cèt	4	51	\spr\item\questkey\tuimauxanh.spr	41	1	1	Tói b¶o vËt bªn trong cã chøa trang bŞ HiÖp Cèt.	200	1	1	1	0
S­ §å ThiÕp	4	52	\spr\item\new\sudothiep.spr	38	1	1	VËt phÈm hæ trî cho viÖc nhËn s­ ®å	100	1	0	1	0
LÖnh bµi Phong L¨ng §é	4	53	\spr\item\questkey\006.spr	385	1	1	VËt phÈm dïng ®Ó lªn thuyÒn <color=fire>Phong L¨ng §é<color>	20	0	1	1	0
S¸t Thñ LÖnh [Kim]	4	54	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	20	0	1	0	10
S¸t Thñ LÖnh [Méc]	4	55	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	20	0	1	0	10
S¸t Thñ LÖnh [Thñy]	4	56	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	20	0	1	0	10
S¸t Thñ LÖnh [Háa]	4	57	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	20	0	1	0	10
S¸t Thñ LÖnh [Thæ]	4	58	\spr\item\questkey\taskobj126.spr	336	1	1	PhÇn th­ëng cho nhiÖm vô giÕt Boss <enter>5 c¸i ®ång cÊp ®æi ®­îc 1 S¸t Thñ gi¶n.	20	0	1	0	10
S¸t Thñ Gi¶n [Kim]	4	59	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	10	0	1	0	0
S¸t Thñ Gi¶n [Méc]	4	60	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	10	0	1	0	0
S¸t Thñ Gi¶n [Thñy]	4	61	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	10	0	1	0	0
S¸t Thñ Gi¶n [Háa]	4	62	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	10	0	1	0	0
S¸t Thñ Gi¶n [Thæ]	4	63	\spr\item\questkey\taskobj033.spr	9	1	2	Mang ®Õn gÆp NhiÕp Thİ TrÇn ®Ó nhËn nhiÖm vô ®Æc biÖt.	10	0	1	0	0
S¸t Thñ Gi¶n LÔ Hép	4	64	\spr\item\hopquagiangsinh.spr	28	1	1	Bªn trong ch­a 5 S¸t Thñ Gi¶n theo ngò hµnh	1500	1	1	1	0
Ch­a dïng	4	65	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	<color=yellow>Thêi gian phôc håi: 40 - 50%<enter>Sinh lùc tèi ®a: 120 - 200 ®iÓm<color><enter>H¹n sö dông: <color=red>vÜnh viÔn	1500	1	1	1	0
Ch­a dïng	4	66	\spr\item\equip\sash\obj-sash17.spr	32	2	1	<color=yellow>Sinh lùc tèi ®a: -50 - 50 ®iÓm<enter>Thêi gian tróng ®éc: 30 - 40%<color><enter>H¹n sö dông: <color=red>vÜnh viÔn	1500	1	1	1	0
Ch­a dïng	4	67	\spr\item\equip\boots\obj-shoes06.spr	26	2	2	<color=yellow>Tèc ®é di chuyÓn: 30 - 40%<enter>Sinh lùc tèi ®a: 120 - 200 ®iÓm<color><enter>H¹n sö dông: <color=red>vÜnh viÔn	1500	1	1	1	0
Ch­a dïng	4	68	\spr\item\equip\bangle\obj-bangle13.spr	34	1	2	<color=yellow>Sinh lùc tèi ®a: -50 - 50 ®iÓm<enter>Thêi gian lµm chËm: 40 - 50%<color><enter>H¹n sö dông: <color=red>vÜnh viÔn	1500	1	1	1	0
Ch­a dïng	4	69	\spr\item\equip\closeweapon\obj-staff01.spr	41	1	1	"Loai vat pham da duoc so che va tao hinh, neu biet su dung no co gia tri khong nho"	100	0	0	1	0
Ch­a dïng	4	70	\spr\item\script\item_huangjintupu.spr	424	1	1	<color=fire>Bi Pho Dung De Tinh Luyen Trang Bi<color>	100	0	0	1	0
Ch­a dïng	4	71	\spr\item\yulanpenjie\shuilianhua.spr	445	1	1	VËt phÈm nhiÖm vô.	100	0	0	1	0
Ch­a dïng	4	72	\spr\item\yulanpenjie\huolianhua.spr	446	1	1	VËt phÈm nhiÖm vô.	100	0	0	1	0
Ch­a dïng	4	73	\spr\item\yulanpenjie\tulianhua.spr	447	1	1	VËt phÈm nhiÖm vô.	100	0	0	1	0
Ch­a dïng	4	74	\spr\item\script\item_miyinkuang.spr	41	1	1	Vat Pham Quy Hiem Dung De <color=pink>Che Tao Trang Bi<color>	100	0	0	1	0
ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	4	75	\spr\item\questkey\obj_item_lection.spr	341	1	1	"ThiÕu L©m QuyÒn Ph¸p, luyÖn tËp sÏ thuÇn thôc <§¹t Ma §é Giang>kü n¨ng."	20	1	1	0	0
ThiÕu L©m §ao ph¸p. QuyÓn 3	4	76	\spr\item\questkey\obj_item_lection.spr	341	1	1	"ThiÕu L©m §ao ph¸p, luyÖn tËp sÏ thuÇn thôc <V« T­íng Tr¶m>."	20	1	1	0	0
ThiÕu L©m C«n ph¸p. QuyÓn 2	4	77	\spr\item\questkey\obj_item_lection.spr	341	1	1	"ThiÕu L©m C«n ph¸p, luyÖn tËp sÏ thuÇn thôc <Hoµnh T¶o Thiªn Qu©n>."	20	1	1	0	0
Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	4	78	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bªn trong ghi l¹i nh÷ng tuyÖt kü Truy Tinh Trôc NguyÖt	20	1	1	0	0
Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	4	79	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch Thiªn V­¬ng bang, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	20	1	1	0	0
Thiªn V­¬ng §ao ph¸p.QuyÓn 3	4	80	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Thiªn V­¬ng §ao Ph¸p, QuyÓn 3, häc thuéc sÏ thuÇn thôc Truy phong QuyÕt"	20	1	1	0	0
Tô TiÔn thuËt. B¹o Vò Lª Hoa	4	81	\spr\item\questkey\obj_item_lection.spr	341	1	1	"YÕu quyÕt B¹o Vò Lª Hoa, siªng luyÖn tËp sÏ thuÇn thôc kü n¨ng B¹o Vò Lª Hoa."	20	1	1	0	0
Phi §ao thuËt. NhiÕp Hån NguyÖt ¶nh	4	82	\spr\item\questkey\obj_item_lection.spr	341	1	1	"§­êng m«n Phi §ao thuËt, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc NhiÕp hån NguyÖt ¶nh"	20	1	1	0	0
Phi Tiªu thuËt. Cöu Cung Phi Tinh	4	83	\spr\item\questkey\obj_item_lection.spr	341	1	1	"§­êng m«n Phi Tiªu thuËt, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	20	1	1	0	0
H·m TÜnh thuËt.Lo¹n Hoµn Kİch	4	84	\spr\item\questkey\obj_item_lection.spr	341	1	1	"bİ truyÒn cña §­êng m«n, siªng luyÖn tËp sÏ thuÇn thôc kü n¨ng Lo¹n Hoµn Kİch."	20	1	1	0	0
Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	4	85	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngò §éc Ch­ëng Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc ¢m Phong Thùc Cèt"	20	1	1	0	0
Ngò §éc §ao ph¸p. QuyÓn 2	4	86	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngò §éc §ao Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc HuyÒn ¢m Tr¶m"	20	1	1	0	0
Ngò §éc NhiÕp T©m thuËt. QuyÓn 3	4	87	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ngò §éc t©m ph¸p, luyÖn tËp sÏ thuÇn thôc <§o©n C©n Hñ Cèt >"	20	1	1	0	0
Nga Mi  PhËt Quang Ch­ëng MËt TŞch	4	88	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Nga Mi MËt tŞch, h­íng dÉn luyÖn tËp <Phong S­¬ng To¸i ¶nh>."	20	1	1	0	0
DiÖt KiÕm MËt TŞch	4	89	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Nga Mi MËt TŞch, ghi l¹i nh÷ng chiªu kiÕm tuyÖt kü cña Nga Mi"	20	1	1	0	0
Phæ §é MËt TŞch	4	90	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Phæ §é MËt TŞch, ghi chó chiªu thøc <Phæ §é Chóng Sinh>"	20	1	1	0	0
Thóy Yªn §ao ph¸p	4	91	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch Thóy Yªn m«n, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	20	1	1	0	0
Thóy Yªn Song ®ao	4	92	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch  song ®ao, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	20	1	1	0	0
C¸i Bang Ch­ëng Ph¸p	4	93	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C¸i Bang Ch­ëng Ph¸p,luyÖn tËp sÏ thuÇn thôc <Phi Long T¹i Thiªn>"	20	1	1	0	0
C¸i Bang C«n ph¸p	4	94	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C¸i Bang C«n ph¸p,luyÖn tËp sÏ thuÇn thôc <Thiªn H¹ V« CÈu>."	20	1	1	0	0
L­u Tinh. §ao ph¸p	4	95	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch Thiªn NhÉn, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	20	1	1	0	0
V©n Long Kİch. M©u ph¸p	4	96	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ghi l¹i chiªu thøc cao cÊp cña Thiªn NhÉn m©u ph¸p, häc xong sÏ lÜnh héi ®­îc chiªu thøc <V©n Long Kİch>."	20	1	1	0	0
NhiÕp Hån. Chó thuËt	4	97	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Chiªu thøc bïa chó cao cÊp cña Thiªn nhÉn, häc xong sÏ lÜnh héi ®­îc <NhiÕp hån lo¹n t©m>."	20	1	1	0	0
Th¸i Cùc QuyÒn Phæ. QuyÓn 3	4	98	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch  Vâ §ang, xem tõ tõ cã thÓ hiÓu"	20	1	1	0	0
Th¸i Cùc KiÕm Phæ. QuyÓn 2	4	99	\spr\item\questkey\obj_item_lection.spr	341	1	1	"MËt TŞch kü n¨ng Vâ §ang, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc"	20	1	1	0	0
Ngù L«i thuËt	4	100	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C«n L«n KiÕm Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc L«i ®éng Cöu Thiªn"	20	1	1	0	0
Ngù Phong thuËt	4	101	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C«n L«n §ao Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc Ng¹o TuyÕt Tiªu Phong"	20	1	1	0	0
Ngù T©m thuËt	4	102	\spr\item\questkey\obj_item_lection.spr	341	1	1	"C«n L«n t©m Ph¸p, th­êng xuyªn luyÖn tËp sÏ thuÇn thôc Tóy Tiªn T¸ Cèt"	20	1	1	0	0
Tiªn Th¶o Lé (tiÓu)	4	103	\spr\item\medecine\xiancaolu.spr	405	1	1	"Néi 1 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	100	1	0	1	0
Tiªn Th¶o Lé (trung)	4	104	\spr\item\medecine\xiancaolu.spr	405	1	1	"Néi 2 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	200	1	0	1	0
Tiªn Th¶o Lé (®¹i)	4	105	\spr\item\medecine\xiancaolu.spr	405	1	1	"Néi 4 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	400	1	0	1	0
Kİnh Hoa Lé (tiÓu)	4	106	\spr\item\medecine\xiancaolu_sp.spr	403	1	1	"Néi 1 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	150	1	0	1	0
Kİnh Hoa Lé (trung)	4	107	\spr\item\medecine\xiancaolu_sp.spr	403	1	1	"Néi 2 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	300	1	0	1	0
Kİnh Hoa Lé (®¹i)	4	108	\spr\item\medecine\xiancaolu_sp.spr	403	1	1	"Néi 4 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	600	1	0	1	0
Tiªn Th¶o Lé (tiÓu)	4	109	\spr\item\medecine\xiancaolu.spr	405	1	1	"Néi 1 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	10	1	1	1	0
Tiªn Th¶o Lé (trung)	4	110	\spr\item\medecine\xiancaolu.spr	405	1	1	"Néi 2 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	20	1	1	1	0
Tiªn Th¶o Lé (®¹i)	4	111	\spr\item\medecine\xiancaolu.spr	405	1	1	"Néi 4 giê, kinh nghiÖm t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	40	1	1	1	0
Kİnh Hoa Lé (tiÓu)	4	112	\spr\item\medecine\xiancaolu_sp.spr	403	1	1	"Néi 1 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	15	1	1	1	0
Kİnh Hoa Lé (trung)	4	113	\spr\item\medecine\xiancaolu_sp.spr	403	1	1	"Néi 2 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	30	1	1	1	0
Kİnh Hoa Lé (®¹i)	4	114	\spr\item\medecine\xiancaolu_sp.spr	403	1	1	"Néi 4 giê, kinh nghiÖm luyÖn kü n¨ng t¨ng gÊp ®«i (t¸i sö dông v« hiÖu)"	60	1	1	1	0
Háa Liªn Hoa	4	115	\spr\item\yulanpenjie\huolianhua.spr	446	1	1	Lo¹i ®¸ ®­îc kÕt tinh tõ háa nham.	0	0	0	1	0
ch­a dïng	4	116	\spr\item\questkey\Ôµİõ½£.spr	41	2	3	<color=green>VËt PhÈm Dµnh Cho Ng­êi Muèn Thèng L·nh Mét Bang	2500	0	1	1	0
ch­a dïng	4	117	\spr\Ui3\±íÇé\417.spr	41	1	1	Thu thËp ®ñ 50 viªn ®Õn thî rÌn D­¬ng Ch©u chÕ Nh¹c V­¬ng KiÕm	20000	1	1	1	50
ThŞt Heo tr¾ng	4	118	\spr\item\questkey\taskobj398.spr	364	1	1	§Õn gÆp vâ s­ trong lµng ®æi lÊy ng©n l­îng	0	0	1	1	100
B¶o KiÕm BŞ §¸nh C¾p	4	119	\spr\item\nvk.spr	41	2	3	B¶o kiÕm bŞ ®¸nh c¾p<enter>VËt phÈm nhiÖm vô <enter>	0	0	0	1	0
Minh Chñ LÖnh	4	120	\spr\item\vietnam\leaguematch\icon_league_gold.spr	341	1	1	<bclr=green>LÖnh bµi qu¶n lı JXLove<bclr>	0	1	0	1	0
