盔甲编号	部件编号	
239	31	韵霓裳
240	31	迷魂裳
241	31	九尾白狐裘
242	32	锦衫
243	32	绮丽衫
244	32	花纱衫
245	32	蜀锦衫
246	33	宋锦衫
247	33	云锦衫
248	33	青罗衫
249	34	漆纱衫
250	34	绫罗衫
251	34	沉香衫
252	35	镶铁女甲
253	35	青铜女甲
254	35	白茸甲
255	35	蓝燕钢甲
256	36	红茸甲
257	36	赤雁甲
258	36	血铜甲
259	37	烂银甲
260	37	玄铁雪银甲
261	37	霹雳金凤甲
262	38	破麻衣
263	38	破棉衣
264	38	破蓑衣
265	38	白补衣
266	39	千补衣
267	39	羊皮甲
268	39	牛皮甲
269	40	紫鼠衣
270	40	灰貂衣
271	40	万众齐心衣
272	41	百迭裙
273	41	青罗裙
274	41	织锦石榴裙
275	41	双蝶绣罗裙
276	42	百鸟裙
277	42	月华裙
278	42	凤尾裙
279	43	琼玉裙
280	43	百凤朝阳裙
281	43	留仙裙
282	44	
283	45	
284	46	
285	44	
286	45	
287	45	
288	47	
289	47	
290	45	
291	45	
