szName	nPos	nClass	nLevel	nPropKind	Min1	Max1	Min2	Max2	Min3	Max3	szIntro	MeleeWeapon	RangeWeapon	Armor	Ring	Amorlet	Boots	Belt	Help	Cuff	Pendant	Horse
T¨ng hiÖu qu¶ s¸t th­¬ng	1		12	131	6	21	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		13	131	11	27	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		14	131	16	33	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		15	131	21	39	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		16	131	26	45	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		17	131	31	51	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		18	131	36	57	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		19	131	41	63	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		20	131	46	69	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		21	131	51	75	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		22	131	56	81	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		23	131	61	87	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		24	131	66	93	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		25	131	71	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		26	131	76	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		27	131	81	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		28	131	86	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		29	131	91	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		30	131	96	100	-1	-1	6	6	S¸t th­¬ng vËt lý ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		1	171	10	30	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		2	171	30	60	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		3	171	60	90	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		4	171	90	120	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		5	171	120	150	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		6	171	150	180	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		7	171	180	210	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		8	171	210	240	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		9	171	240	270	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		10	171	1	21	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	150000	150000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		11	171	21	41	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		12	171	41	61	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		13	171	61	81	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		14	171	81	101	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		15	171	101	121	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		16	171	121	141	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		17	171	141	161	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		18	171	161	181	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		19	171	181	211	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		20	171	201	241	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		21	171	221	271	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		24	171	241	290	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		26	171	261	300	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		28	171	275	300	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		29	171	290	300	-1	-1	0	0	§é chÝnh x¸c (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		2	115	10	10	-1	-1	0	0	Tèc ®é ®¸nh - ngo¹i c«ng (%)	10000	10000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		5	115	20	20	-1	-1	0	0	Tèc ®é ®¸nh - ngo¹i c«ng (%)	10000	10000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		9	115	30	30	-1	-1	0	0	Tèc ®é ®¸nh - ngo¹i c«ng (%)	10000	10000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		11	115	10	10	-1	-1	0	0	Tèc ®é ®¸nh - ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		21	115	20	20	-1	-1	0	0	Tèc ®é ®¸nh - ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		27	115	30	30	-1	-1	0	0	Tèc ®é ®¸nh - ngo¹i c«ng (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		2	111	10	15	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	100000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		4	111	15	20	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	100000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		6	111	20	25	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	150000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		8	111	25	30	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	150000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		10	111	30	40	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	200000	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		11	111	7	16	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		15	111	14	23	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		19	111	21	30	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		23	111	28	37	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		27	111	35	40	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		29	111	38	40	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é ch¹y vµ ®i bé 	1		30	111	40	40	-1	-1	0	0	Tèc ®é di chuyÓn (%)	0	0	0	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		4	113	20	20	-1	-1	0	0	Thêi gian phôc håi (%)	0	0	12500	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		7	113	30	30	-1	-1	0	0	Thêi gian phôc håi (%)	0	0	12500	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		10	113	40	40	-1	-1	0	0	Thêi gian phôc håi (%)	0	0	12500	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		11	113	20	20	-1	-1	0	0	Thêi gian phôc håi (%)	0	0	0	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		21	113	30	30	-1	-1	0	0	Thêi gian phôc håi (%)	0	0	0	0	0	0	0	0	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch	1		28	113	40	40	-1	-1	0	0	Thêi gian phôc håi (%)	0	0	0	0	0	0	0	0	0	0	0
t¨ng phßng thñ 	1		1	114	1	2	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	5000	0	0	0	0	0	0
t¨ng phßng thñ 	1		2	114	2	4	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	4500	0	0	0	0	0	0
t¨ng phßng thñ 	1		3	114	4	6	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	4000	0	0	0	0	0	0
t¨ng phßng thñ 	1		4	114	6	8	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	3500	0	0	0	0	0	0
t¨ng phßng thñ 	1		5	114	8	10	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	3000	0	0	0	0	0	0
t¨ng phßng thñ 	1		6	114	10	12	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	2500	0	0	0	0	0	0
t¨ng phßng thñ 	1		7	114	12	14	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	2000	0	0	0	0	0	0
t¨ng phßng thñ 	1		8	114	14	16	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	1500	0	0	0	0	0	0
t¨ng phßng thñ 	1		9	114	16	18	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	1000	0	0	0	0	0	0
t¨ng phßng thñ 	1		10	114	18	20	-1	-1	0	0	kh¸ng tÊt c¶ (%)	0	0	0	0	500	0	0	0	0	0	0
hót Sinh lùc	1		2	141	1	3	-1	-1	0	0	Hót sinh lùc (%)	10	10	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		5	141	3	5	-1	-1	0	0	Hót sinh lùc (%)	7	7	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		7	141	5	7	-1	-1	0	0	Hót sinh lùc (%)	5	5	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		10	141	7	10	-1	-1	0	0	Hót sinh lùc (%)	2	2	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		11	141	1	3	-1	-1	0	0	Hót sinh lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		15	141	2	5	-1	-1	0	0	Hót sinh lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		19	141	3	6	-1	-1	0	0	Hót sinh lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		23	141	5	8	-1	-1	0	0	Hót sinh lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		27	141	7	10	-1	-1	0	0	Hót sinh lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Sinh lùc	1		30	141	10	10	-1	-1	0	0	Hót sinh lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		2	142	1	3	-1	-1	0	0	Hót néi lùc (%)	10	10	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		5	142	3	5	-1	-1	0	0	Hót néi lùc (%)	5	5	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		7	142	5	7	-1	-1	0	0	Hót néi lùc (%)	2	2	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		10	142	7	10	-1	-1	0	0	Hót néi lùc (%)	1	1	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		11	142	1	3	-1	-1	0	0	Hót néi lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		15	142	2	5	-1	-1	0	0	Hót néi lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		19	142	3	6	-1	-1	0	0	Hót néi lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		23	142	5	8	-1	-1	0	0	Hót néi lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		27	142	7	10	-1	-1	0	0	Hót néi lùc (%)	0	0	0	0	0	0	0	0	0	0	0
hót Néi lùc	1		30	142	10	10	-1	-1	0	0	Hót néi lùc (%)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		1	85	5	20	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	250000	250000	250000	250000	250000	250000	250000	250000	500000	500000	0
T¨ng Sinh lùc 	1		2	85	20	40	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	150000	150000	150000	150000	150000	150000	150000	150000	300000	300000	0
T¨ng Sinh lùc 	1		3	85	40	60	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	100000	100000	100000	100000	100000	100000	100000	100000	200000	200000	0
T¨ng Sinh lùc 	1		4	85	60	80	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	100000	100000	100000	100000	100000	100000	100000	100000	200000	200000	0
T¨ng Sinh lùc 	1		5	85	80	100	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	75000	75000	75000	75000	75000	75000	75000	75000	150000	150000	0
T¨ng Sinh lùc 	1		6	85	100	120	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	50000	50000	50000	50000	50000	50000	50000	50000	100000	100000	0
T¨ng Sinh lùc 	1		7	85	120	140	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	35000	35000	35000	35000	35000	35000	35000	35000	75000	75000	0
T¨ng Sinh lùc 	1		8	85	140	160	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	10000	10000	10000	10000	10000	10000	10000	10000	20000	20000	0
T¨ng Sinh lùc 	1		9	85	160	180	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	1500	1500	1500	1500	1500	1500	1500	1500	3000	3000	0
T¨ng Sinh lùc 	1		10	85	180	200	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	1000	1000	1000	1000	1000	1000	1000	1000	2000	2000	0
T¨ng Sinh lùc 	1		11	85	1	11	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		12	85	11	21	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		13	85	21	31	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		14	85	31	41	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		15	85	41	51	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		16	85	51	61	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		17	85	61	71	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		18	85	71	81	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		19	85	81	91	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		20	85	91	101	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		21	85	101	111	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		22	85	111	121	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		23	85	121	131	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		24	85	131	141	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		25	85	141	151	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		26	85	171	200	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		27	85	181	200	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		28	85	191	200	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		29	85	195	200	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Sinh lùc 	1		30	85	198	200	-1	-1	0	0	Sinh lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		1	89	5	20	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
T¨ng Néi lùc 	1		2	89	20	40	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc 	1		3	89	40	60	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
T¨ng Néi lùc 	1		4	89	60	80	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
T¨ng Néi lùc 	1		5	89	80	100	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
T¨ng Néi lùc 	1		6	89	100	120	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	0
T¨ng Néi lùc 	1		7	89	120	140	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
T¨ng Néi lùc 	1		8	89	140	160	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0
T¨ng Néi lùc 	1		9	89	160	180	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	0
T¨ng Néi lùc 	1		10	89	180	200	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	500	500	500	500	500	500	500	500	500	500	0
T¨ng Néi lùc 	1		11	89	1	11	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		12	89	11	21	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		13	89	21	31	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		14	89	31	41	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		15	89	41	51	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		16	89	51	61	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		17	89	61	71	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		18	89	71	81	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		19	89	81	91	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		20	89	91	101	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		21	89	101	111	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		22	89	111	121	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		23	89	121	131	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		24	89	131	141	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		25	89	141	151	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		26	89	171	200	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		27	89	181	200	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		28	89	191	200	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		29	89	195	200	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng Néi lùc 	1		30	89	198	200	-1	-1	0	0	Néi lùc tèi ®a (®iÓm)	0	0	0	0	0	0	0	0	0	0	0
T¨ng thÓ lùc 	1		1	93	5	20	-1	-1	0	0	ThÓ lùc tèi ®a (®iÓm)	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000	0
