DescName	nMagicType	nMin1	nMax1	nMin2	nMax2	nMin3	nMax3
Ngoc Boi Mong Long 1	43	1	1	-1	-1	0	0
Ngoc Boi Mong Long 2	144	1	1	-1	-1	0	0
Giay Mong Long 1	85	360	480	-1	-1	0	0
Giay Mong Long 2	111	50	60	-1	-1	0	0
Giay Mong Long 3	89	120	200	-1	-1	0	0
Giay Mong Long 4	102	25	30	-1	-1	0	0
Con Phuc Ma 1	131	100	150	-1	-1	6	6
Con Phuc Ma 2	115	25	40	-1	-1	0	0
Con Phuc Ma 3	171	450	600	-1	-1	0	0
Con Phuc Ma 4	121	50	60	-1	-1	0	0
Con Phuc Ma 5	67	4	8	-1	-1	0	0
Con Phuc Ma 6	174	1	3	-1	-1	19	19
Ngoc Boi Phuc Ma 1	43	1	1	-1	-1	0	0
Ngoc Boi Phuc Ma 2	144	1	1	-1	-1	0	0
Dai Lung Phuc Ma 1	85	450	500	-1	-1	0	0
Dai Lung Phuc Ma 2	106	40	50	-1	-1	0	0
Dai Lung Phuc Ma 3	174	1	3	-1	-1	4	4
Dai Lung Phuc Ma 4	102	25	30	-1	-1	0	0
Dai Lung Phuc Ma 5	108	50	80	-1	-1	0	0
Dai Lung Phuc Ma 6	110	30	40	-1	-1	0	0
Ao Phuc Ma 1	85	120	200	-1	-1	0	0
Ao Phuc Ma 2	113	40	60	-1	-1	0	0
Ao Phuc Ma 3	174	1	3	-1	-1	6	6
Ao Phuc Ma 4	104	25	30	-1	-1	0	0
Giay Phuc Ma 1	85	120	200	-1	-1	0	0
Giay Phuc Ma 2	174	1	3	-1	-1	16	16
Giay Phuc Ma 3	111	50	60	-1	-1	0	0
Giay Phuc Ma 4	103	25	30	-1	-1	0	0
Giay Phuc Ma 5	89	120	200	-1	-1	0	0
Giay Phuc Ma 6	106	30	40	-1	-1	0	0
Dao Tu Khong 1	85	120	200	-1	-1	0	0
Dao Tu Khong 2	115	25	40	-1	-1	0	0
Dao Tu Khong 3	131	100	150	-1	-1	6	6
Dao Tu Khong 4	121	50	60	-1	-1	0	0
Dao Tu Khong 5	67	4	8	-1	-1	0	0
Dao Tu Khong 6	174	1	3	-1	-1	19	19
Ao Tu Khong 1	85	120	200	-1	-1	0	0
Ao Tu Khong 2	113	40	60	-1	-1	0	0
Ao Tu Khong 3	174	1	3	-1	-1	7	7
Ao Tu Khong 4	104	25	30	-1	-1	0	0
Dai Tu Khong 1	85	120	200	-1	-1	0	0
Dai Tu Khong 2	106	40	50	-1	-1	0	0
Dai Tu Khong 3	174	1	3	-1	-1	4	4
Dai Tu Khong 4	102	25	30	-1	-1	0	0
Dai Tu Khong 5	108	50	80	-1	-1	0	0
Dai Tu Khong 6	70	3	5	-1	-1	0	0
Bao Tay Khong 1	85	120	200	-1	-1	0	0
Bao Tay Khong 2	110	30	40	-1	-1	0	0
Bao Tay Khong 3	174	1	3	-1	-1	24	24
Bao Tay Khong 4	102	25	30	-1	-1	0	0
Bao Tay Khong 5	89	120	200	-1	-1	0	0
Bao Tay Khong 6	174	1	3	-1	-1	18	18
Nhan Tu Khong 1	43	1	1	-1	-1	0	0
Nhan Tu Khong 2	144	1	1	-1	-1	0	0
[Tinh Chuan] Toc do di chuyen	111	50	50	-1	-1	0	0
[Tinh Chuan] Thoi gian lam cham	106	40	40	-1	-1	0	0
[Tinh Chuan] Sinh luc toi da	85	200	200	-1	-1	0	0
[Vinh Dieu] Thoi gian phuc hoi	113	50	50	-1	-1	0	0
[Vinh Dieu] Thoi gian choang	110	40	40	-1	-1	0	0
[Vinh Dieu] Noi luc toi da	89	200	200	-1	-1	0	0
