Level	ReBorn1	ReBorn2	ReBorn3	ReBorn4	ReBorn5	ReBorn6
145	160000000	120000000	160000000	200000000	240000000	280000000
146	170000000	127500000	170000000	212500000	255000000	297500000
147	180000000	135000000	180000000	225000000	270000000	315000000
148	190000000	142500000	190000000	237500000	285000000	332500000
149	200000000	150000000	200000000	250000000	300000000	350000000
150	220000000	165000000	220000000	275000000	330000000	385000000
151	240000000	180000000	240000000	300000000	360000000	420000000
152	260000000	195000000	260000000	325000000	390000000	455000000
153	280000000	210000000	280000000	350000000	420000000	490000000
154	300000000	225000000	300000000	375000000	450000000	525000000
155	320000000	240000000	320000000	400000000	480000000	560000000
156	340000000	255000000	340000000	425000000	510000000	595000000
157	360000000	270000000	360000000	450000000	540000000	630000000
158	380000000	285000000	380000000	475000000	570000000	665000000
159	400000000	300000000	400000000	500000000	600000000	700000000
160	420000000	315000000	420000000	525000000	630000000	735000000
161	440000000	330000000	440000000	550000000	660000000	770000000
162	460000000	345000000	460000000	575000000	690000000	805000000
163	480000000	360000000	480000000	600000000	720000000	840000000
164	500000000	375000000	500000000	625000000	750000000	875000000
165	530000000	397500000	530000000	662500000	795000000	927500000
166	560000000	420000000	560000000	700000000	840000000	980000000
167	590000000	442500000	590000000	737500000	885000000	1032500000
168	620000000	465000000	620000000	775000000	930000000	1085000000
169	650000000	487500000	650000000	812500000	975000000	1137500000
170	680000000	510000000	680000000	850000000	1020000000	1190000000
171	710000000	532500000	710000000	887500000	1065000000	1242500000
172	740000000	555000000	740000000	925000000	1110000000	1295000000
173	770000000	577500000	770000000	962500000	1155000000	1347500000
174	800000000	600000000	800000000	1000000000	1200000000	1400000000
175	830000000	622500000	830000000	1037500000	1245000000	1452500000
176	850000000	637500000	850000000	1062500000	1275000000	1487500000
177	890000000	667500000	890000000	1112500000	1335000000	1557500000
178	940000000	705000000	940000000	1175000000	1410000000	1645000000
179	990000000	742500000	990000000	1237500000	1485000000	1732500000
180	1050000000	787500000	1050000000	1312500000	1575000000	1837500000
181	1100000000	825000000	1100000000	1375000000	1650000000	1925000000
182	1150000000	862500000	1150000000	1437500000	1725000000	2012500000
183	1200000000	900000000	1200000000	1500000000	1800000000	2100000000
184	1250000000	937500000	1250000000	1562500000	1875000000	2187500000
185	1300000000	975000000	1300000000	1625000000	1950000000	2275000000
186	1350000000	1012500000	1350000000	1687500000	2025000000	2362500000
187	1400000000	1050000000	1400000000	1750000000	2100000000	2450000000
188	1450000000	1087500000	1450000000	1812500000	2175000000	2537500000
189	1500000000	1125000000	1500000000	1875000000	2250000000	2625000000
190	1550000000	1162500000	1550000000	1937500000	2325000000	2712500000
191	1600000000	1200000000	1600000000	2000000000	2400000000	2800000000
192	1650000000	1237500000	1650000000	2062500000	2475000000	2887500000
193	1700000000	1275000000	1700000000	2125000000	2550000000	2975000000
194	1750000000	1312500000	1750000000	2187500000	2625000000	3062500000
195	1800000000	1350000000	1800000000	2250000000	2700000000	3150000000
196	1850000000	1387500000	1850000000	2312500000	2775000000	3237500000
197	1900000000	1425000000	1900000000	2375000000	2850000000	3325000000
198	1950000000	1462500000	1950000000	2437500000	2925000000	3412500000
199	2000000000	1500000000	2000000000	2500000000	3000000000	3500000000
200	2000000000	1500000000	2000000000	2500000000	3000000000	3500000000
